Country,Place Name,Category,Neighbourhood / City,Description / Notes,Source (Instagram Post),Source Account,Day
Korea,Incheon International Airport,Transport,Incheon,Take Airport Limousine bus — best way into Seoul from airport; also has Smart Pass facial recognition to skip queues,https://www.instagram.com/p/DVGFBhaCB7J/,kimberllyvuong,Day 1
Korea,Incheon International Airport,Transport,Incheon,Smart Pass app — pre-register passport for facial recognition to skip passport & boarding queues,https://www.instagram.com/p/DSrStesE9W-/,__cameera,Day 1
Korea,Seoul Station,Transport,Seoul,AREX express train from ICN to Seoul Station (~45 min nonstop),https://www.instagram.com/p/DVGFBhaCB7J/,kimberllyvuong,Day 1
Korea,Jongno (종로),Neighbourhood,Seoul,#1 area to stay for first-timers — real Korea vibe; transit hub; historic,https://www.instagram.com/p/DTN5nT6gvWs/,dianainseoul,Day 1-2
Korea,Myeongdong (명동),Neighbourhood,Seoul,#2 area to stay — safe for night walks; street food; L7 Hotel rooftop; airport bus stop; close to Namdaemun market,https://www.instagram.com/p/DTN5nT6gvWs/ | https://www.instagram.com/p/DUa6oYJkT1F/,dianainseoul | sxm.mi,Day 1-2
Korea,Hongdae (홍대),Neighbourhood,Seoul,#3 area to stay — nightlife; restaurants; ÅLAND and MUSINSA flagship stores; younger crowd,https://www.instagram.com/p/DTN5nT6gvWs/ | https://www.instagram.com/p/DUa6oYJkT1F/,dianainseoul | sxm.mi,Day 3
Korea,Gangnam (강남),Neighbourhood,Seoul,Upscale area; Shinsegae Gangnam department store 5th & 8th floor for Korean fashion brands,https://www.instagram.com/p/DUa6oYJkT1F/ | https://www.instagram.com/p/DTC_5iykign/,sxm.mi | jiwon.now,Day 7-8
Korea,Itaewon (이태원),Neighbourhood,Seoul,Expat-friendly area; Citybreeze Seoul Flagship; Fucking Awesome Seoul; Mardi Mercredi,https://www.instagram.com/p/DUa6oYJkT1F/ | https://www.instagram.com/p/DURGuYlD_mr/,sxm.mi | elysnapshot,Flexible
Korea,Seongsu (성수),Neighbourhood,Seoul,Coolest neighbourhood in Seoul (tied with Hannam & Yeonam); packed with concept stores and flagship boutiques,https://www.instagram.com/p/DUsp6e8jKzX/ | https://www.instagram.com/p/DURGuYlD_mr/,thenabilaismail | elysnapshot,Day 5
Korea,Hannam (한남),Neighbourhood,Seoul,Tied for coolest neighbourhood; upscale boutiques; Citybreeze Seoul; Fucking Awesome Seoul; Mardi Mercredi,https://www.instagram.com/p/DUsp6e8jKzX/ | https://www.instagram.com/p/DURGuYlD_mr/,thenabilaismail | elysnapshot,Day 5
Korea,Yeonam (연남),Neighbourhood,Seoul,Tied for coolest neighbourhood — quieter alternative to Hongdae; cafés and local restaurants,https://www.instagram.com/p/DUsp6e8jKzX/,thenabilaismail,Day 3
Korea,Insadong (인사동),Neighbourhood,Seoul,Shopping and cultural area; mentioned as activity in Seoul itinerary; Granhand perfumery nearby (Hanok Village),https://www.instagram.com/p/DUp4KmkETt8/ | https://www.instagram.com/p/DTJ3xEfElTr/,caitieandsteph | travelwithvidushi,Day 1-2
Korea,Euljiro (을지로),Neighbourhood,Seoul,Walkable from Myeongdong; cool spots; mentioned as great area to stay,https://www.instagram.com/p/DUa6oYJkT1F/,sxm.mi (comment),Day 1-2
Korea,Sinchon (신촌),Neighbourhood,Seoul,Near Hongdae; cheaper food and great bars; recommended as underrated area,https://www.instagram.com/p/DUa6oYJkT1F/,sxm.mi (comment),Day 4 (night)
Korea,Apgujeong (압구정),Neighbourhood,Seoul,Worksout streetwear store located here (mentioned in comments),https://www.instagram.com/p/DURGuYlD_mr/,elysnapshot (comment),Day 7-8
Korea,Gwangjang Market (광장시장),Market,Seoul,Steps from a featured loft rental (LiveAnywhere); iconic traditional market,https://www.instagram.com/p/DUnXsnHk9DJ/,eyopkr,Day 9
Korea,Namsan,Landmark,Seoul,Close to featured rental loft; mentioned as central landmark,https://www.instagram.com/p/DUnXsnHk9DJ/,eyopkr,Flexible
Korea,Hanok Village (한옥마을),Cultural Site,Seoul,Location of Granhand perfumery; winding historic streets; souvenir shopping,https://www.instagram.com/p/DTJ3xEfElTr/,travelwithvidushi,Day 14
Korea,National Museum of Korea,Museum,Seoul,137 Seobinggo-ro Yongsan-gu (Ichon Station Exit 2); free entry (fee from 2027); Mon/Tue/Thu/Fri/Sun 10–18:00; Wed & Sat until 21:00,https://www.instagram.com/p/DTzbSwWEa1o/,kiraguide67,Flexible
Korea,Shinsegae Gangnam,Department Store,Gangnam,5th & 8th floors have 15 Korean fashion brands local Seoulites shop at instead of Myeongdong,https://www.instagram.com/p/DTC_5iykign/,jiwon.now,Day 7-8
Korea,Seoraksan National Park,Nature / Day Trip,Sokcho,Day trip / overnight from Seoul; dramatic mountain scenery,https://www.instagram.com/p/DUBZ8oSDypl/,wheretonextguys,Day 10
Korea,Sokcho (속초),City,Gangwon,Days 6–7 on 2-week Korea itinerary; coastal city near Seoraksan,https://www.instagram.com/p/DUBZ8oSDypl/,wheretonextguys,Day 10
Korea,Gangneung (강릉),City,Gangwon,Days 8–9 on 2-week Korea itinerary; beaches; historic homes; nature; 2 hrs from Seoul by KTX,https://www.instagram.com/p/DUBZ8oSDypl/ | https://www.instagram.com/p/DO56MhaiL-s/,wheretonextguys | travel.with.payal (comment),Day 11
